-38.03	Yaw : -3.82	Label : 3
Roll : 6.08	Pitch : -46.71	Yaw : -1.87	Label : 3
Roll : 6.04	Pitch : -46.72	Yaw : -1.78	Label : 3
Roll : 6.05	Pitch : -46.77	Yaw : -1.83	Label : 3
Roll : 6.09	Pitch : -47.54	Yaw : -1.79	Label : 3
Roll : 6.25	Pitch : -46.96	Yaw : -1.91	Label : 3
Roll : 6.34	Pitch : -47.77	Yaw : -1.85	Label : 3
Roll : 6.31	Pitch : -47.22	Yaw : -1.97	Label : 3
Roll : 6.38	Pitch : -47.51	Yaw : -1.97	Label : 3
Roll : 6.46	Pitch : -47.71	Yaw : -2.01	Label : 3
Roll : 6.41	Pitch : -47.52	Yaw : -2.08	Label : 3
Roll : 6.36	Pitch : -47.93	Yaw : -2.06	Label : 3
Roll : 6.48	Pitch : -47.61	Yaw : -2.17	Label : 3
Roll : 6.56	Pitch : -48.08	Yaw : -2.18	Label : 3
Roll : 6.78	Pitch : -47.91	Yaw : -2.20	Label : 3
Roll : 6.67	Pitch : -48.50	Yaw : -2.19	Label : 3
Roll : 6.83	Pitch : -47.99	Yaw : -2.26	Label : 3
Roll : 6.75	Pitch : -48.73	Yaw : -2.29	Label : 3
Roll : 6.80	Pitch : -48.12	Yaw : -2.40	Label : 3
Roll : 6.92	Pitch : -48.94	Yaw : -2.39	Label : 3
Roll : 6.93	Pitch : -48.48	Yaw : -2.42	Label : 3
Roll : 6.90	Pitch : -49.13	Yaw : -2.35	Label : 3
Roll : 7.04	Pitch : -49.16	Yaw : -2.30	Label : 3
Roll : 7.15	Pitch : -49.67	Yaw : -2.34	Label : 3
Roll : 7.23	Pitch : -49.80	Yaw : -2.23	Label : 3
Roll : 7.11	Pitch : -50.55	Yaw : -2.19	Label : 3
Roll : 7.31	Pitch : -50.33	Yaw : -2.27	Label : 3
Roll : 7.43	Pitch : -51.12	Yaw : -2.31	Label : 3
Roll : 7.53	Pitch : -51.59	Yaw : -2.16	Label : 3
Roll : 7.57	Pitch : -52.16	Yaw : -2.12	Label : 3
Roll : 7.76	Pitch : -52.91	Yaw : -2.03	Label : 3
Roll : 7.83	Pitch : -52.54	Yaw : -1.95	Label : 3
Roll : 7.85	Pitch : -53.35	Yaw : -1.74	Label : 3
Roll : 8.05	Pitch : -53.42	Yaw : -1.76	Label : 3
Roll : 7.91	Pitch : -53.50	Yaw : -1.65	Label : 3
Roll : 7.80	Pitch : -54.21	Yaw : -1.53	Label : 3
Roll : 7.74	Pitch : -53.96	Yaw : -1.52	Label : 3
Roll : 7.58	Pitch : -54.84	Yaw : -1.42	Label : 3
Roll : 7.76	Pitch : -54.39	Yaw : -1.44	Label : 3
Roll : 7.56	Pitch : -55.50	Yaw : -1.37	Label : 3
